,fold,k,distance,votes,weighting,acc,corr,incorr,time
119,9,1,manhattan,majority,information_gain,0.47297297297297297,70,78,11.518879890441895
120,0,1,manhattan,sheppard,equal,0.39864864864864863,59,89,11.361778020858765
121,1,1,manhattan,sheppard,equal,0.42857142857142855,63,84,11.379506826400757
122,2,1,manhattan,sheppard,equal,0.43243243243243246,64,84,11.548708200454712
123,3,1,manhattan,sheppard,equal,0.5172413793103449,75,70,11.127285480499268
124,4,1,manhattan,sheppard,equal,0.4489795918367347,66,81,11.517332315444946
125,5,1,manhattan,sheppard,equal,0.46938775510204084,69,78,11.26799726486206
126,6,1,manhattan,sheppard,equal,0.4697986577181208,70,79,11.033077955245972
127,7,1,manhattan,sheppard,equal,0.42857142857142855,63,84,11.502258062362671
128,8,1,manhattan,sheppard,equal,0.46938775510204084,69,78,11.251261711120605
129,9,1,manhattan,sheppard,equal,0.4864864864864865,72,76,11.454665184020996
130,0,1,manhattan,sheppard,correlation,0.3716216216216216,55,93,11.501314640045166
131,1,1,manhattan,sheppard,correlation,0.43537414965986393,64,83,11.128674983978271
132,2,1,manhattan,sheppard,correlation,0.38513513513513514,57,91,11.391896963119507
133,3,1,manhattan,sheppard,correlation,0.46206896551724136,67,78,11.080171823501587
134,4,1,manhattan,sheppard,correlation,0.43537414965986393,64,83,11.127812147140503
135,5,1,manhattan,sheppard,correlation,0.4557823129251701,67,80,11.42505431175232
136,6,1,manhattan,sheppard,correlation,0.46308724832214765,69,80,11.487771272659302
137,7,1,manhattan,sheppard,correlation,0.4217687074829932,62,85,11.346039533615112
138,8,1,manhattan,sheppard,correlation,0.48299319727891155,71,76,11.220178604125977
139,9,1,manhattan,sheppard,correlation,0.4797297297297297,71,77,11.440041065216064
140,0,1,manhattan,sheppard,information_gain,0.43243243243243246,64,84,11.392270565032959
141,1,1,manhattan,sheppard,information_gain,0.5102040816326531,75,72,11.472646236419678
142,2,1,manhattan,sheppard,information_gain,0.40540540540540543,60,88,11.532630920410156
143,3,1,manhattan,sheppard,information_gain,0.5172413793103449,75,70,11.034135818481445
144,4,1,manhattan,sheppard,information_gain,0.43537414965986393,64,83,10.891988039016724
145,5,1,manhattan,sheppard,information_gain,0.5034013605442177,74,73,11.407474040985107
146,6,1,manhattan,sheppard,information_gain,0.44966442953020136,67,82,11.751786231994629
147,7,1,manhattan,sheppard,information_gain,0.43537414965986393,64,83,11.00135588645935
148,8,1,manhattan,sheppard,information_gain,0.47619047619047616,70,77,11.126611948013306
149,9,1,manhattan,sheppard,information_gain,0.4797297297297297,71,77,10.92318606376648
150,0,1,manhattan,idw,equal,0.39864864864864863,59,89,11.533104419708252
151,1,1,manhattan,idw,equal,0.42857142857142855,63,84,11.348273992538452
152,2,1,manhattan,idw,equal,0.43243243243243246,64,84,11.441274642944336
153,3,1,manhattan,idw,equal,0.5172413793103449,75,70,11.48652720451355
154,4,1,manhattan,idw,equal,0.4489795918367347,66,81,12.049258470535278
155,5,1,manhattan,idw,equal,0.46938775510204084,69,78,12.173295736312866
156,6,1,manhattan,idw,equal,0.4697986577181208,70,79,11.28688645362854
157,7,1,manhattan,idw,equal,0.42857142857142855,63,84,12.079424619674683
158,8,1,manhattan,idw,equal,0.46938775510204084,69,78,11.462376594543457
159,9,1,manhattan,idw,equal,0.4864864864864865,72,76,13.74861764907837
160,0,1,manhattan,idw,correlation,0.3716216216216216,55,93,11.868152856826782
161,1,1,manhattan,idw,correlation,0.43537414965986393,64,83,11.74314284324646
162,2,1,manhattan,idw,correlation,0.38513513513513514,57,91,11.415058612823486
163,3,1,manhattan,idw,correlation,0.46206896551724136,67,78,11.851598024368286
164,4,1,manhattan,idw,correlation,0.43537414965986393,64,83,11.618121147155762
165,5,1,manhattan,idw,correlation,0.4557823129251701,67,80,11.368199586868286
166,6,1,manhattan,idw,correlation,0.46308724832214765,69,80,11.272457122802734
167,7,1,manhattan,idw,correlation,0.4217687074829932,62,85,11.538971424102783
168,8,1,manhattan,idw,correlation,0.48299319727891155,71,76,12.997260570526123
169,9,1,manhattan,idw,correlation,0.4797297297297297,71,77,11.413955450057983
170,0,1,manhattan,idw,information_gain,0.43243243243243246,64,84,11.303653717041016
171,1,1,manhattan,idw,information_gain,0.4557823129251701,67,80,11.085009813308716
172,2,1,manhattan,idw,information_gain,0.40540540540540543,60,88,11.571725606918335
173,3,1,manhattan,idw,information_gain,0.4827586206896552,70,75,11.145977258682251
174,4,1,manhattan,idw,information_gain,0.46938775510204084,69,78,10.864984273910522
175,5,1,manhattan,idw,information_gain,0.4557823129251701,67,80,11.399455547332764
176,6,1,manhattan,idw,information_gain,0.436241610738255,65,84,11.696293354034424
177,7,1,manhattan,idw,information_gain,0.46258503401360546,68,79,11.335814476013184
178,8,1,manhattan,idw,information_gain,0.4965986394557823,73,74,11.430805206298828
179,9,1,manhattan,idw,information_gain,0.47297297297297297,70,78,11.225491046905518
180,0,1,cosine,majority,equal,0.3581081081081081,53,95,13.906444072723389
181,1,1,cosine,majority,equal,0.43537414965986393,64,83,13.718948602676392
182,2,1,cosine,majority,equal,0.4594594594594595,68,80,13.593941688537598
183,3,1,cosine,majority,equal,0.46206896551724136,67,78,12.949309587478638
184,4,1,cosine,majority,equal,0.4217687074829932,62,85,13.640808343887329
185,5,1,cosine,majority,equal,0.4489795918367347,66,81,14.064650774002075
186,6,1,cosine,majority,equal,0.5033557046979866,75,74,13.607626914978027
187,7,1,cosine,majority,equal,0.4421768707482993,65,82,18.076632738113403
188,8,1,cosine,majority,equal,0.4557823129251701,67,80,14.519754648208618
189,9,1,cosine,majority,equal,0.49324324324324326,73,75,14.737492799758911
190,0,1,cosine,majority,correlation,0.3581081081081081,53,95,16.132196187973022
191,1,1,cosine,majority,correlation,0.40816326530612246,60,87,15.788429260253906
192,2,1,cosine,majority,correlation,0.43243243243243246,64,84,14.361490964889526
193,3,1,cosine,majority,correlation,0.4689655172413793,68,77,13.56271505355835
194,4,1,cosine,majority,correlation,0.4489795918367347,66,81,17.323647499084473
195,5,1,cosine,majority,correlation,0.4557823129251701,67,80,13.531450986862183
196,6,1,cosine,majority,correlation,0.5100671140939598,76,73,13.310578107833862
197,7,1,cosine,majority,correlation,0.3945578231292517,58,89,13.060842275619507
198,8,1,cosine,majority,correlation,0.47619047619047616,70,77,13.183519840240479
199,9,1,cosine,majority,correlation,0.4797297297297297,71,77,13.296602964401245
200,0,1,cosine,majority,information_gain,0.34459459459459457,51,97,14.262646913528442
201,1,1,cosine,majority,information_gain,0.46258503401360546,68,79,13.23246693611145
202,2,1,cosine,majority,information_gain,0.44594594594594594,66,82,13.232625246047974
203,3,1,cosine,majority,information_gain,0.503448275862069,73,72,13.35752272605896
204,4,1,cosine,majority,information_gain,0.4013605442176871,59,88,14.910465478897095
205,5,1,cosine,majority,information_gain,0.4965986394557823,73,74,13.875269889831543
206,6,1,cosine,majority,information_gain,0.4429530201342282,66,83,13.609630823135376
207,7,1,cosine,majority,information_gain,0.4013605442176871,59,88,12.886778354644775
208,8,1,cosine,majority,information_gain,0.46258503401360546,68,79,13.719009399414062
209,9,1,cosine,majority,information_gain,0.44594594594594594,66,82,13.32621717453003
210,0,1,cosine,sheppard,equal,0.3581081081081081,53,95,15.443669080734253
211,1,1,cosine,sheppard,equal,0.43537414965986393,64,83,13.404431343078613
212,2,1,cosine,sheppard,equal,0.4594594594594595,68,80,13.703354597091675
213,3,1,cosine,sheppard,equal,0.46206896551724136,67,78,13.279464960098267
214,4,1,cosine,sheppard,equal,0.4217687074829932,62,85,13.531416177749634
215,5,1,cosine,sheppard,equal,0.4489795918367347,66,81,13.232503890991211
216,6,1,cosine,sheppard,equal,0.5033557046979866,75,74,14.016090631484985
217,7,1,cosine,sheppard,equal,0.4421768707482993,65,82,13.593692064285278
218,8,1,cosine,sheppard,equal,0.4557823129251701,67,80,14.058671236038208
219,9,1,cosine,sheppard,equal,0.49324324324324326,73,75,14.026231527328491
220,0,1,cosine,sheppard,correlation,0.3581081081081081,53,95,17.596527099609375
221,1,1,cosine,sheppard,correlation,0.40816326530612246,60,87,13.562668323516846
222,2,1,cosine,sheppard,correlation,0.43243243243243246,64,84,15.126423835754395
223,3,1,cosine,sheppard,correlation,0.4689655172413793,68,77,17.806764602661133
224,4,1,cosine,sheppard,correlation,0.4489795918367347,66,81,17.675097227096558
225,5,1,cosine,sheppard,correlation,0.4557823129251701,67,80,17.81305456161499
226,6,1,cosine,sheppard,correlation,0.5100671140939598,76,73,34.63618755340576
227,7,1,cosine,sheppard,correlation,0.3945578231292517,58,89,23.369148015975952
228,8,1,cosine,sheppard,correlation,0.47619047619047616,70,77,24.07525134086609
229,9,1,cosine,sheppard,correlation,0.4797297297297297,71,77,27.831997394561768
230,0,1,cosine,sheppard,information_gain,0.3783783783783784,56,92,20.191000938415527
231,1,1,cosine,sheppard,information_gain,0.46258503401360546,68,79,28.563501596450806
232,2,1,cosine,sheppard,information_gain,0.4189189189189189,62,86,24.350003957748413
233,3,1,cosine,sheppard,information_gain,0.41379310344827586,60,85,30.03429341316223
234,4,1,cosine,sheppard,information_gain,0.43537414965986393,64,83,28.87700867652893
235,5,1,cosine,sheppard,information_gain,0.4421768707482993,65,82,20.670000314712524
236,6,1,cosine,sheppard,information_gain,0.4563758389261745,68,81,25.5629985332489
237,7,1,cosine,sheppard,information_gain,0.43537414965986393,64,83,14.721010684967041
238,8,1,cosine,sheppard,information_gain,0.47619047619047616,70,77,21.217998504638672
239,9,1,cosine,sheppard,information_gain,0.5,74,74,20.070518493652344
240,0,1,cosine,idw,equal,0.3581081081081081,53,95,20.158057689666748
241,1,1,cosine,idw,equal,0.43537414965986393,64,83,14.57896614074707
242,2,1,cosine,idw,equal,0.4594594594594595,68,80,19.640028476715088
243,3,1,cosine,idw,equal,0.46206896551724136,67,78,14.252967357635498
244,4,1,cosine,idw,equal,0.4217687074829932,62,85,15.013035774230957
245,5,1,cosine,idw,equal,0.4489795918367347,66,81,20.440967321395874
246,6,1,cosine,idw,equal,0.5033557046979866,75,74,14.831031799316406
247,7,1,cosine,idw,equal,0.4421768707482993,65,82,17.600969076156616
248,8,1,cosine,idw,equal,0.4557823129251701,67,80,16.998684406280518
249,9,1,cosine,idw,equal,0.49324324324324326,73,75,14.81499695777893
250,0,1,cosine,idw,correlation,0.3581081081081081,53,95,20.29100728034973
251,1,1,cosine,idw,correlation,0.40816326530612246,60,87,15.457998752593994
252,2,1,cosine,idw,correlation,0.43243243243243246,64,84,17.642958879470825
253,3,1,cosine,idw,correlation,0.4689655172413793,68,77,22.716785669326782
254,4,1,cosine,idw,correlation,0.4489795918367347,66,81,19.14598321914673
255,5,1,cosine,idw,correlation,0.4557823129251701,67,80,20.24319624900818
256,6,1,cosine,idw,correlation,0.5100671140939598,76,73,15.371038913726807
257,7,1,cosine,idw,correlation,0.3945578231292517,58,89,28.22550868988037
258,8,1,cosine,idw,correlation,0.47619047619047616,70,77,17.27999973297119
259,9,1,cosine,idw,correlation,0.4797297297297297,71,77,18.58500075340271
260,0,1,cosine,idw,information_gain,0.43243243243243246,64,84,14.605033159255981
261,1,1,cosine,idw,information_gain,0.4489795918367347,66,81,19.033007383346558
262,2,1,cosine,idw,information_gain,0.4797297297297297,71,77,17.2390034198761
263,3,1,cosine,idw,information_gain,0.503448275862069,73,72,16.831950902938843
264,4,1,cosine,idw,information_gain,0.41496598639455784,61,86,20.950786352157593
265,5,1,cosine,idw,information_gain,0.48299319727891155,71,76,15.068000555038452
266,6,1,cosine,idw,information_gain,0.5100671140939598,76,73,19.167715072631836
267,7,1,cosine,idw,information_gain,0.41496598639455784,61,86,15.089996814727783
268,8,1,cosine,idw,information_gain,0.4557823129251701,67,80,14.355001211166382
269,9,1,cosine,idw,information_gain,0.527027027027027,78,70,20.524312257766724
270,0,3,euclidean,majority,equal,0.42567567567567566,63,85,12.25319504737854
271,1,3,euclidean,majority,equal,0.4013605442176871,59,88,12.462220907211304
272,2,3,euclidean,majority,equal,0.4527027027027027,67,81,21.161768436431885
273,3,3,euclidean,majority,equal,0.46206896551724136,67,78,11.99803113937378
274,4,3,euclidean,majority,equal,0.4421768707482993,65,82,12.502966403961182
275,5,3,euclidean,majority,equal,0.4557823129251701,67,80,17.21903395652771
276,6,3,euclidean,majority,equal,0.4899328859060403,73,76,12.482965469360352
277,7,3,euclidean,majority,equal,0.43537414965986393,64,83,12.5230393409729
278,8,3,euclidean,majority,equal,0.5238095238095238,77,70,17.850964784622192
279,9,3,euclidean,majority,equal,0.4797297297297297,71,77,12.758960962295532
280,0,3,euclidean,majority,correlation,0.4189189189189189,62,86,12.386002540588379
281,1,3,euclidean,majority,correlation,0.3741496598639456,55,92,17.341997146606445
282,2,3,euclidean,majority,correlation,0.4391891891891892,65,83,12.37899374961853
283,3,3,euclidean,majority,correlation,0.4689655172413793,68,77,14.02200698852539
284,4,3,euclidean,majority,correlation,0.4489795918367347,66,81,18.842823028564453
285,5,3,euclidean,majority,correlation,0.4489795918367347,66,81,11.946886539459229
286,6,3,euclidean,majority,correlation,0.5033557046979866,75,74,12.033051013946533
287,7,3,euclidean,majority,correlation,0.43537414965986393,64,83,11.56731128692627
288,8,3,euclidean,majority,correlation,0.54421768707483,80,67,15.03631854057312
289,9,3,euclidean,majority,correlation,0.46621621621621623,69,79,11.758994579315186
290,0,3,euclidean,majority,information_gain,0.40540540540540543,60,88,11.679749011993408
291,1,3,euclidean,majority,information_gain,0.4421768707482993,65,82,11.32222318649292
292,2,3,euclidean,majority,information_gain,0.49324324324324326,73,75,11.63383150100708
293,3,3,euclidean,majority,information_gain,0.503448275862069,73,72,14.784471273422241
294,4,3,euclidean,majority,information_gain,0.46938775510204084,69,78,11.649510145187378
295,5,3,euclidean,majority,information_gain,0.5102040816326531,75,72,11.757807493209839
296,6,3,euclidean,majority,information_gain,0.4966442953020134,74,75,11.756294965744019
297,7,3,euclidean,majority,information_gain,0.35374149659863946,52,95,13.232695579528809
298,8,3,euclidean,majority,information_gain,0.4897959183673469,72,75,13.578184127807617
299,9,3,euclidean,majority,information_gain,0.4391891891891892,65,83,11.477839946746826
300,0,3,euclidean,sheppard,equal,0.4189189189189189,62,86,11.649380445480347
301,1,3,euclidean,sheppard,equal,0.40816326530612246,60,87,11.31918978691101
302,2,3,euclidean,sheppard,equal,0.44594594594594594,66,82,13.765870332717896
303,3,3,euclidean,sheppard,equal,0.47586206896551725,69,76,13.781410932540894
304,4,3,euclidean,sheppard,equal,0.43537414965986393,64,83,11.618156909942627
305,5,3,euclidean,sheppard,equal,0.4557823129251701,67,80,11.476593971252441
306,6,3,euclidean,sheppard,equal,0.48322147651006714,72,77,12.996188640594482
307,7,3,euclidean,sheppard,equal,0.4421768707482993,65,82,19.127495527267456
308,8,3,euclidean,sheppard,equal,0.5238095238095238,77,70,11.963953971862793
309,9,3,euclidean,sheppard,equal,0.46621621621621623,69,79,11.742205619812012
310,0,3,euclidean,sheppard,correlation,0.4189189189189189,62,86,12.16690182685852
311,1,3,euclidean,sheppard,correlation,0.3741496598639456,55,92,11.633904218673706
312,2,3,euclidean,sheppard,correlation,0.4391891891891892,65,83,14.565631866455078
