,fold,k,distance,votes,weighting,acc,corr,incorr,time
286,6,3,euclidean,majority,correlation,0.5033557046979866,75,74,9.538984298706055
287,7,3,euclidean,majority,correlation,0.43537414965986393,64,83,9.535999298095703
288,8,3,euclidean,majority,correlation,0.54421768707483,80,67,9.563986778259277
289,9,3,euclidean,majority,correlation,0.46621621621621623,69,79,9.530970096588135
290,0,3,euclidean,majority,information_gain,0.42567567567567566,63,85,10.01624584197998
291,1,3,euclidean,majority,information_gain,0.41496598639455784,61,86,9.981987237930298
292,2,3,euclidean,majority,information_gain,0.44594594594594594,66,82,9.945954084396362
293,3,3,euclidean,majority,information_gain,0.503448275862069,73,72,9.539003372192383
294,4,3,euclidean,majority,information_gain,0.4421768707482993,65,82,9.674002885818481
295,5,3,euclidean,majority,information_gain,0.47619047619047616,70,77,9.732002973556519
296,6,3,euclidean,majority,information_gain,0.436241610738255,65,84,9.782999515533447
297,7,3,euclidean,majority,information_gain,0.43537414965986393,64,83,9.688003063201904
298,8,3,euclidean,majority,information_gain,0.4897959183673469,72,75,9.526003122329712
299,9,3,euclidean,majority,information_gain,0.4864864864864865,72,76,9.96603775024414
300,0,3,euclidean,sheppard,equal,0.4189189189189189,62,86,9.69202446937561
301,1,3,euclidean,sheppard,equal,0.40816326530612246,60,87,9.805964946746826
302,2,3,euclidean,sheppard,equal,0.44594594594594594,66,82,9.836033582687378
303,3,3,euclidean,sheppard,equal,0.47586206896551725,69,76,10.140965223312378
304,4,3,euclidean,sheppard,equal,0.43537414965986393,64,83,9.56203579902649
305,5,3,euclidean,sheppard,equal,0.4557823129251701,67,80,9.647962093353271
306,6,3,euclidean,sheppard,equal,0.48322147651006714,72,77,10.148033857345581
307,7,3,euclidean,sheppard,equal,0.4421768707482993,65,82,10.019001483917236
308,8,3,euclidean,sheppard,equal,0.5238095238095238,77,70,9.615967035293579
309,9,3,euclidean,sheppard,equal,0.46621621621621623,69,79,9.556032657623291
310,0,3,euclidean,sheppard,correlation,0.4189189189189189,62,86,9.518968105316162
311,1,3,euclidean,sheppard,correlation,0.3741496598639456,55,92,9.88103437423706
312,2,3,euclidean,sheppard,correlation,0.4391891891891892,65,83,10.057950735092163
313,3,3,euclidean,sheppard,correlation,0.4689655172413793,68,77,9.336037635803223
314,4,3,euclidean,sheppard,correlation,0.4489795918367347,66,81,9.388986110687256
315,5,3,euclidean,sheppard,correlation,0.4489795918367347,66,81,9.555952072143555
316,6,3,euclidean,sheppard,correlation,0.5033557046979866,75,74,9.522033452987671
317,7,3,euclidean,sheppard,correlation,0.43537414965986393,64,83,9.664987325668335
318,8,3,euclidean,sheppard,correlation,0.54421768707483,80,67,10.020953893661499
319,9,3,euclidean,sheppard,correlation,0.46621621621621623,69,79,9.96799898147583
320,0,3,euclidean,sheppard,information_gain,0.43243243243243246,64,84,9.761240005493164
321,1,3,euclidean,sheppard,information_gain,0.46258503401360546,68,79,10.003613233566284
322,2,3,euclidean,sheppard,information_gain,0.46621621621621623,69,79,9.811949491500854
323,3,3,euclidean,sheppard,information_gain,0.503448275862069,73,72,9.316002368927002
324,4,3,euclidean,sheppard,information_gain,0.41496598639455784,61,86,9.497036933898926
325,5,3,euclidean,sheppard,information_gain,0.47619047619047616,70,77,9.625034093856812
326,6,3,euclidean,sheppard,information_gain,0.4429530201342282,66,83,10.151997804641724
327,7,3,euclidean,sheppard,information_gain,0.40816326530612246,60,87,9.534066200256348
328,8,3,euclidean,sheppard,information_gain,0.46938775510204084,69,78,9.551950693130493
329,9,3,euclidean,sheppard,information_gain,0.43243243243243246,64,84,9.626986026763916
330,0,3,euclidean,idw,equal,0.40540540540540543,60,88,9.626002550125122
331,1,3,euclidean,idw,equal,0.41496598639455784,61,86,9.55599570274353
332,2,3,euclidean,idw,equal,0.4527027027027027,67,81,9.612969160079956
333,3,3,euclidean,idw,equal,0.4827586206896552,70,75,9.576000213623047
334,4,3,euclidean,idw,equal,0.4421768707482993,65,82,9.70900011062622
335,5,3,euclidean,idw,equal,0.4557823129251701,67,80,9.745996475219727
336,6,3,euclidean,idw,equal,0.47651006711409394,71,78,10.134034872055054
337,7,3,euclidean,idw,equal,0.4421768707482993,65,82,9.566965341567993
338,8,3,euclidean,idw,equal,0.5102040816326531,75,72,9.60900330543518
339,9,3,euclidean,idw,equal,0.4864864864864865,72,76,10.231032133102417
340,0,3,euclidean,idw,correlation,0.40540540540540543,60,88,10.071986675262451
