,acc,corr,incorr,time
95,0.6319260608038008,93.1,54.2,8.546598029136657
96,0.8044734668262622,118.5,28.8,8.509045338630676
97,0.8125874257331922,119.7,27.6,8.331915783882142
98,0.7012726535224634,103.3,44.0,8.366115474700928
99,0.6496376959685717,95.7,51.6,10.556214809417725
100,0.6462726082070149,95.2,52.1,10.95054247379303
101,0.6313660618522258,93.0,54.3,11.104339361190796
102,0.6380677796991812,94.0,53.3,11.080678796768188
103,0.640131202903048,94.3,53.0,10.860189151763915
104,0.6300186078421938,92.8,54.5,11.002804183959961
105,0.8153808078395641,120.1,27.2,10.629961180686951
106,0.8254706624169712,121.6,25.7,10.714938831329345
107,0.7374693943077584,108.6,38.7,10.983185601234435
