,acc,corr,incorr,time
67,0.4785012715344649,70.5,76.8,12.244068479537964
68,0.48471591638963607,71.4,75.9,12.241527485847474
69,0.46906952428012366,69.1,78.2,13.296646356582642
70,0.4664313669449716,68.7,78.6,12.275318455696105
71,0.47383583527796186,69.8,77.5,12.294095420837403
72,0.46220112685266246,68.1,79.2,14.441089177131653
73,0.4663437160174027,68.7,78.6,14.43180184364319
74,0.48132293133169257,70.9,76.4,14.626141810417176
75,0.47034121979571114,69.3,78.0,14.706292748451233
76,0.4697221560928705,69.2,78.1,14.358333683013916
77,0.48411958806427685,71.3,76.0,14.740199708938599
78,0.46364617523360535,68.3,79.0,14.524566721916198
79,0.4575467084198529,67.4,79.9,14.444573950767516
80,0.4712762798220861,69.4,77.9,14.988473486900329
81,0.47158753695815225,69.5,77.8,12.625653076171876
82,0.4716290282508419,69.5,77.8,12.155314803123474
83,0.468481756532307,69.0,78.3,12.254133701324463
84,0.46489558256923613,68.5,78.8,12.454886722564698
85,0.47569252706555576,70.1,77.2,12.49783296585083
86,0.48816916397337595,71.9,75.4,12.505855512619018
87,0.460841148120713,67.9,79.4,12.65460205078125
88,0.4601892051878827,67.8,79.5,12.436207914352417
89,0.4759051811896722,70.1,77.2,12.5823810338974
90,0.4831476897695035,71.2,76.1,12.093855953216552
91,0.48725734821909644,71.8,75.5,12.346731162071228
92,0.5105123587992964,75.2,72.1,12.34934597015381
93,0.46490880127703604,68.5,78.8,12.31860899925232
94,0.4892984164399511,72.1,75.2,12.577752089500427
95,0.4942076074723941,72.8,74.5,12.291645312309265
96,0.4649368219676019,68.5,78.8,12.640025758743286
97,0.4663068726430383,68.7,78.6,12.468510246276855
98,0.48944545592213123,72.1,75.2,12.38029351234436
99,0.4736787289582608,69.8,77.5,14.596959280967713
100,0.46552893425426245,68.6,78.7,14.78088936805725
101,0.49490174078976273,72.9,74.4,13.71792311668396
102,0.47100826809078866,69.4,77.9,12.826597094535828
103,0.470943846117417,69.4,77.9,12.887549829483032
104,0.48203191301101833,71.0,76.3,12.597651171684266
105,0.46563195265033464,68.6,78.7,12.802913904190063
106,0.4561723080996066,67.2,80.1,12.727897548675537
107,0.4676863114880108,68.9,78.4,13.189155125617981
