,fold,k,distance,votes,weighting,acc,corr,incorr,time
355,5,3,euclidean,idw,information_gain,0.75,111,37,7.945955991744995
356,6,3,euclidean,idw,information_gain,0.6870748299319728,101,46,7.905252695083618
357,7,3,euclidean,idw,information_gain,0.7414965986394558,109,38,7.926379680633545
358,8,3,euclidean,idw,information_gain,0.8108108108108109,120,28,7.947371959686279
359,9,3,euclidean,idw,information_gain,0.8027210884353742,118,29,7.882706165313721
360,0,3,manhattan,majority,equal,0.668918918918919,99,49,7.728579521179199
361,1,3,manhattan,majority,equal,0.7046979865771812,105,44,7.707047939300537
362,2,3,manhattan,majority,equal,0.7278911564625851,107,40,7.692383289337158
363,3,3,manhattan,majority,equal,0.7687074829931972,113,34,7.711780309677124
364,4,3,manhattan,majority,equal,0.7517241379310344,109,36,7.515332221984863
365,5,3,manhattan,majority,equal,0.7635135135135135,113,35,7.7269275188446045
366,6,3,manhattan,majority,equal,0.7482993197278912,110,37,8.948959589004517
367,7,3,manhattan,majority,equal,0.6870748299319728,101,46,7.630064964294434
368,8,3,manhattan,majority,equal,0.777027027027027,115,33,7.743359804153442
369,9,3,manhattan,majority,equal,0.7210884353741497,106,41,7.667289733886719
370,0,3,manhattan,majority,correlation,0.7027027027027027,104,44,7.710761308670044
371,1,3,manhattan,majority,correlation,0.7315436241610739,109,40,7.7914369106292725
372,2,3,manhattan,majority,correlation,0.6666666666666666,98,49,7.624825716018677
373,3,3,manhattan,majority,correlation,0.7619047619047619,112,35,7.657938241958618
374,4,3,manhattan,majority,correlation,0.7586206896551724,110,35,7.582437753677368
375,5,3,manhattan,majority,correlation,0.75,111,37,7.750068426132202
376,6,3,manhattan,majority,correlation,0.6938775510204082,102,45,7.731848239898682
377,7,3,manhattan,majority,correlation,0.6802721088435374,100,47,7.621625900268555
378,8,3,manhattan,majority,correlation,0.8108108108108109,120,28,7.712991237640381
379,9,3,manhattan,majority,correlation,0.673469387755102,99,48,7.680793285369873
380,0,3,manhattan,majority,information_gain,0.7094594594594594,105,43,7.798220157623291
381,1,3,manhattan,majority,information_gain,0.6644295302013423,99,50,7.747354030609131
382,2,3,manhattan,majority,information_gain,0.6666666666666666,98,49,7.698547840118408
383,3,3,manhattan,majority,information_gain,0.6802721088435374,100,47,7.67187762260437
384,4,3,manhattan,majority,information_gain,0.5310344827586206,77,68,7.610841274261475
385,5,3,manhattan,majority,information_gain,0.75,111,37,7.6930992603302
386,6,3,manhattan,majority,information_gain,0.7346938775510204,108,39,8.878361225128174
387,7,3,manhattan,majority,information_gain,0.6802721088435374,100,47,7.651370048522949
388,8,3,manhattan,majority,information_gain,0.7432432432432432,110,38,7.778630018234253
389,9,3,manhattan,majority,information_gain,0.673469387755102,99,48,7.717714548110962
390,0,3,manhattan,sheppard,equal,0.722972972972973,107,41,7.756570339202881
391,1,3,manhattan,sheppard,equal,0.738255033557047,110,39,7.858322858810425
392,2,3,manhattan,sheppard,equal,0.7619047619047619,112,35,7.685306549072266
393,3,3,manhattan,sheppard,equal,0.7891156462585034,116,31,7.6944499015808105
394,4,3,manhattan,sheppard,equal,0.7793103448275862,113,32,7.66068959236145
395,5,3,manhattan,sheppard,equal,0.7972972972972973,118,30,7.764524698257446
396,6,3,manhattan,sheppard,equal,0.8027210884353742,118,29,7.697225093841553
397,7,3,manhattan,sheppard,equal,0.7142857142857143,105,42,7.794142723083496
398,8,3,manhattan,sheppard,equal,0.8243243243243243,122,26,7.746950149536133
399,9,3,manhattan,sheppard,equal,0.8027210884353742,118,29,7.677279233932495
400,0,3,manhattan,sheppard,correlation,0.7027027027027027,104,44,7.785463333129883
