,fold,k,distance,votes,weighting,acc,corr,incorr,time
213,3,1,cosine,sheppard,equal,1.0,99,0,4.800598382949829
214,4,1,cosine,sheppard,equal,1.0,99,0,4.703158378601074
215,5,1,cosine,sheppard,equal,0.9696969696969697,96,3,6.0025634765625
216,6,1,cosine,sheppard,equal,1.0,99,0,4.7596471309661865
217,7,1,cosine,sheppard,equal,1.0,99,0,4.700086355209351
218,8,1,cosine,sheppard,equal,1.0,99,0,4.7363600730896
219,9,1,cosine,sheppard,equal,1.0,99,0,4.969871520996094
220,0,1,cosine,sheppard,correlation,1.0,99,0,4.924320459365845
221,1,1,cosine,sheppard,correlation,1.0,99,0,4.992065668106079
222,2,1,cosine,sheppard,correlation,0.98989898989899,98,1,4.985942363739014
223,3,1,cosine,sheppard,correlation,1.0,99,0,4.933530330657959
224,4,1,cosine,sheppard,correlation,1.0,99,0,4.753631114959717
225,5,1,cosine,sheppard,correlation,1.0,99,0,4.7569029331207275
226,6,1,cosine,sheppard,correlation,0.98989898989899,98,1,4.8360795974731445
227,7,1,cosine,sheppard,correlation,1.0,99,0,4.973796367645264
228,8,1,cosine,sheppard,correlation,1.0,99,0,4.91120982170105
229,9,1,cosine,sheppard,correlation,1.0,99,0,4.726895570755005
230,0,1,cosine,sheppard,information_gain,1.0,99,0,4.830716848373413
231,1,1,cosine,sheppard,information_gain,1.0,99,0,4.745408773422241
232,2,1,cosine,sheppard,information_gain,1.0,99,0,4.857979774475098
233,3,1,cosine,sheppard,information_gain,0.98989898989899,98,1,5.109787940979004
234,4,1,cosine,sheppard,information_gain,1.0,99,0,4.865868806838989
235,5,1,cosine,sheppard,information_gain,1.0,99,0,4.758633852005005
236,6,1,cosine,sheppard,information_gain,1.0,99,0,4.809651851654053
237,7,1,cosine,sheppard,information_gain,1.0,99,0,4.768341541290283
238,8,1,cosine,sheppard,information_gain,1.0,99,0,4.845411539077759
239,9,1,cosine,sheppard,information_gain,1.0,99,0,5.048514366149902
240,0,1,cosine,idw,equal,1.0,99,0,4.936277627944946
241,1,1,cosine,idw,equal,1.0,99,0,4.896312952041626
242,2,1,cosine,idw,equal,1.0,99,0,6.23009181022644
243,3,1,cosine,idw,equal,1.0,99,0,4.898799657821655
244,4,1,cosine,idw,equal,1.0,99,0,4.905542612075806
245,5,1,cosine,idw,equal,0.9696969696969697,96,3,4.92608904838562
246,6,1,cosine,idw,equal,1.0,99,0,4.943234205245972
247,7,1,cosine,idw,equal,1.0,99,0,4.886835098266602
248,8,1,cosine,idw,equal,1.0,99,0,4.943596601486206
249,9,1,cosine,idw,equal,1.0,99,0,4.8508992195129395
250,0,1,cosine,idw,correlation,1.0,99,0,4.916529178619385
251,1,1,cosine,idw,correlation,1.0,99,0,4.9228410720825195
252,2,1,cosine,idw,correlation,0.98989898989899,98,1,4.854228973388672
253,3,1,cosine,idw,correlation,1.0,99,0,5.253277540206909
254,4,1,cosine,idw,correlation,1.0,99,0,5.429497718811035
255,5,1,cosine,idw,correlation,1.0,99,0,5.3774378299713135
256,6,1,cosine,idw,correlation,0.98989898989899,98,1,5.372913837432861
257,7,1,cosine,idw,correlation,1.0,99,0,5.542861700057983
258,8,1,cosine,idw,correlation,1.0,99,0,5.500415802001953
259,9,1,cosine,idw,correlation,1.0,99,0,5.684271574020386
260,0,1,cosine,idw,information_gain,1.0,99,0,5.3500800132751465
261,1,1,cosine,idw,information_gain,1.0,99,0,5.245622634887695
262,2,1,cosine,idw,information_gain,0.9797979797979798,97,2,5.749107837677002
263,3,1,cosine,idw,information_gain,0.98989898989899,98,1,5.437379360198975
264,4,1,cosine,idw,information_gain,1.0,99,0,5.6254072189331055
265,5,1,cosine,idw,information_gain,1.0,99,0,5.8200178146362305
266,6,1,cosine,idw,information_gain,1.0,99,0,6.782398462295532
267,7,1,cosine,idw,information_gain,1.0,99,0,5.623996019363403
268,8,1,cosine,idw,information_gain,1.0,99,0,5.300049543380737
269,9,1,cosine,idw,information_gain,1.0,99,0,5.123728275299072
270,0,3,euclidean,majority,equal,0.9797979797979798,97,2,4.106202840805054
271,1,3,euclidean,majority,equal,0.9696969696969697,96,3,4.008504390716553
272,2,3,euclidean,majority,equal,0.9696969696969697,96,3,4.0651772022247314
273,3,3,euclidean,majority,equal,1.0,99,0,4.327723979949951
274,4,3,euclidean,majority,equal,0.98989898989899,98,1,3.869368553161621
275,5,3,euclidean,majority,equal,0.9696969696969697,96,3,4.025045156478882
276,6,3,euclidean,majority,equal,0.98989898989899,98,1,4.147095203399658
277,7,3,euclidean,majority,equal,0.98989898989899,98,1,4.18309211730957
278,8,3,euclidean,majority,equal,0.98989898989899,98,1,3.9667935371398926
279,9,3,euclidean,majority,equal,0.98989898989899,98,1,4.139872074127197
280,0,3,euclidean,majority,correlation,0.98989898989899,98,1,4.155880451202393
281,1,3,euclidean,majority,correlation,0.9595959595959596,95,4,3.7771174907684326
282,2,3,euclidean,majority,correlation,0.9494949494949495,94,5,3.9851877689361572
283,3,3,euclidean,majority,correlation,1.0,99,0,4.1369359493255615
284,4,3,euclidean,majority,correlation,0.98989898989899,98,1,4.2604498863220215
285,5,3,euclidean,majority,correlation,0.98989898989899,98,1,4.211809396743774
286,6,3,euclidean,majority,correlation,0.9696969696969697,96,3,4.04326319694519
287,7,3,euclidean,majority,correlation,1.0,99,0,4.031078815460205
